H Väte
He Helium
Li Litium
Be Beryllium
B Bor
C Kol
N Kväve
O Syre
F Fluor
Ne Neon
Na Natrium
Mg Magnesium
Al Aluminium
Si Kisel
P Fosfor
S Svavel
Cl Klor
Ar Argon
K Kalium
Ca Kalcium
Sc Skandium
Ti Titan
V Vanadin
Cr Krom
Mn Mangan
Fe Järn
Co Kobolt
Ni Nickel
Cu Koppar
Zn Zink
Ga Gallium
Ge Germanium
As Arsenik
Se Selen
Br Brom
Kr Krypton
Rb Rubidium
Sr Strontium
Y Yttrium
Zr Zirkonium
Nb Niob
Mo Molybden
Tc Teknetium
Ru Rutenium
Rh Rodium
Pd Palladium
Ag Silver
Cd Kadmium
In Indium
Sn Tenn
Sb Antimon
Te Tellur
I Jod
Xe Xenon
Cs Cesium
Ba Barium
La Lantan
Ce Cerium
Pr Praseodym
Nd Neodym
Pm Prometium
Sm Samarium
Eu Europium
Gd Gadolinium
Tb Terbium
Dy Dysprosium
Ho Holmium
Er Erbium
Tm Tulium
Yb Ytterbium
Lu Lutetium
Hf Hafnium
Ta Tantal
W Volfram
Re Rhenium
Os Osmium
Ir Iridium
Pt Platina
Au Guld
Hg Kvicksilver
Tl Tallium
Pb Bly
Bi Vismut
Po Polonium
At Astat
Rn Radon
Fr Francium
Ra Radium
Ac Aktinium
Th Torium
Pa Protaktinium
U Uran
Np Neptunium
Pu Plutonium
Am Americium
Cm Curium
Bk Berkelium
Cf Californium
Es Einsteinium
Fm Fermium
Md Mendelevium
No Nobelium
Lr Lawrencium
Rf Rutherfordium
Db Dubnium
Sg Seaborgium
Bh Bohrium
Hs Hassium
Mt Meitnerium
Ds Darmstadtium
Rg Röntgenium
Cn Copernicium
Nh Nihonium
Fl Flerovium
Mc Moskovium
Lv Livermorium
Ts Tenness
Og Oganesson
